时间,日前出清价格,实时出清价格
00:15,333.93,357.39
00:30,321.41,364.83
00:45,319.03,350.91
01:00,314.26,323.65
01:15,300.95,320.73
01:30,304.74,319.83
01:45,304.74,329.51
02:00,307.59,325.57
02:15,311.39,320.78
02:30,304.74,316.70
02:45,303.93,332.00
03:00,303.94,321.67
03:15,302.19,319.74
03:30,303.92,320.01
03:45,300.46,319.44
04:00,299.59,318.51
04:15,302.19,319.04
04:30,303.93,317.09
04:45,303.93,317.31
05:00,308.31,321.06
05:15,318.06,322.83
05:30,324.18,313.41
05:45,328.55,317.94
06:00,300.00,309.13
06:15,280.00,263.00
06:30,100.00,238.00
06:45,0.00,251.67
07:00,0.00,261.67
07:15,0.00,33.33
07:30,0.00,0.00
07:45,0.00,0.00
08:00,0.00,0.00
08:15,0.00,0.00
08:30,0.00,0.00
08:45,0.00,0.00
09:00,0.00,5.85
09:15,0.00,17.49
09:30,0.00,22.90
09:45,0.00,27.67
10:00,0.00,24.81
10:15,0.00,27.55
10:30,0.00,25.15
10:45,0.00,14.89
11:00,0.00,0.00
11:15,0.00,0.00
11:30,0.00,3.78
11:45,0.00,0.00
12:00,0.00,0.00
12:15,0.00,12.51
12:30,0.00,16.78
12:45,0.00,17.11
13:00,0.00,5.62
13:15,0.00,2.13
13:30,0.00,30.47
13:45,0.00,25.15
14:00,0.00,7.62
14:15,0.00,0.00
14:30,0.00,0.00
14:45,0.00,0.00
15:00,0.00,0.00
15:15,0.00,0.00
15:30,0.00,29.82
15:45,0.00,0.00
16:00,0.00,0.00
16:15,0.00,80.00
16:30,150.00,286.67
16:45,295.00,330.85
17:00,300.00,340.33
17:15,299.00,311.90
17:30,313.31,314.37
17:45,324.66,340.16
18:00,334.51,312.72
18:15,325.97,295.50
18:30,319.16,340.70
18:45,314.35,329.08
19:00,314.35,306.07
19:15,318.59,313.73
19:30,314.36,330.97
19:45,307.64,330.98
20:00,302.86,311.89
20:15,304.77,307.44
20:30,304.77,301.19
20:45,304.77,301.20
21:00,304.77,300.88
21:15,300.00,300.87
21:30,299.00,300.88
21:45,300.00,295.64
22:00,290.00,295.97
22:15,309.55,302.56
22:30,304.77,302.91
22:45,300.00,301.59
23:00,300.00,316.60
23:15,338.95,340.56
23:30,342.09,317.07
23:45,342.09,316.03
24:00,338.30,327.80
